msid,site_name,domain_name,products_count,order_count,gpv_usd,total_sessions,total_visitors
ddaf13f3-6eaa-4b92-abec-47fea6054a2d,blackttto,blacktoonurl2.com,102,,,2242012,1198458
aa74ee09-d226-450d-95bc-8c7ef85927c2,ronyofood,ronyohananov.com,818,70372.0,6014789.97,1357654,615109
c480011a-a674-4e67-85e2-2a6d79999252,my-site,testpapers.co.za,609,8155.0,113461.25,902041,460093
bcb9d044-190b-4a21-b7e1-fde586f49eca,misitio,pucara.org,0,,,730545,634973
6bea288c-6f87-4c87-bc8c-497cf387f076,website-1,debelegger.nl,18,317.0,88178.57,651339,200568
edc63b9d-7d01-481c-8cfe-0dab125a0dd7,bajaj,motosbajaj.com.mx,43,0.0,,605413,360695
1731f2a8-f5c0-4b65-ba31-1e06bd39bc91,my-site-1,hi-precision.com.ph,13,1.0,31.50,557695,328787
4c2f70b2-1bf5-4ced-ba14-9a2cb9ba5ef6,kingstore,kingstore-sale.com,0,,,522829,126931
a41fe717-164d-424a-9ac1-32c8d83827b9,my-site-1,solucionesdigitales.promerica.com.sv,24,,,485004,223661
d2bf7409-1646-4629-9f06-1b1be189fb71,the-xabian-world,thebyan.com,3,9.0,0.69,452796,252434
